,Better Diets and Nutrition.pdf,Breeding For Tomorrow.pdf,Capacity Sharing.pdf,Climate Action.pdf,Digital Transformation.pdf,Food Frontiers and Security.pdf,Gender Equality and Inclusion.pdf,Genebanks.pdf,Multifunctional Landscapes.pdf,Policy Innovations.pdf,Scaling for Impact.pdf,Sustainable Animal and Aquatic Foods.pdf,Sustainable Farming.pdf
W-D-0526-GEF: G4DR in Africa,0.16160534,0.20734781,0.35351902,0.41174155,0.28020856,0.34413815,0.29903114,0.25603065,0.4079364,0.3727653,0.30520695,0.29737264,0.37273732
W-P-1660-Strengthening Governance for Transformational Chang,0.3842779,0.32420278,0.52416795,0.65657824,0.49329406,0.551186,0.524299,0.41919413,0.47424456,0.6767848,0.5621992,0.47269607,0.54363537
W-D-0523-DIWASA - Phase II,0.2350676,0.26447448,0.49032184,0.4641214,0.56613743,0.36244035,0.34901875,0.3343893,0.3824866,0.44264922,0.4395717,0.39691305,0.43574846
W-D-0467-EU - Balochistan WR Programme,0.33061856,0.39194155,0.51237863,0.46422535,0.2867562,0.42633075,0.36836603,0.3595576,0.44325545,0.5129549,0.43625116,0.46007463,0.5190535
W-P-1668-Water Security Initiative - MENA Region,0.43861967,0.3554338,0.54394865,0.58949023,0.3040172,0.6036103,0.45764711,0.40185505,0.52604395,0.6405909,0.45483083,0.54014236,0.58161044
W-D-0440-AL MURANA,0.338152,0.37343106,0.492451,0.5708647,0.38335106,0.4793409,0.4175164,0.44791484,0.54927456,0.5378673,0.47900364,0.48630634,0.5407606
W-D-0392-NET: WaPOR Phase 2,0.3139754,0.35596618,0.50860274,0.5191554,0.3384008,0.39006233,0.34312177,0.37905458,0.5046187,0.52438843,0.4397373,0.38235667,0.5661688
W-P-1673-AICCRA - ZAMBIA Phase 2,0.37016952,0.43713367,0.53442246,0.5066845,0.34453598,0.48554763,0.35286134,0.39508688,0.48316047,0.52330613,0.42359373,0.38096532,0.5726463
W-D-0415-IDA-Accelerating Impacts of CGIAR(AICCR),0.39330682,0.43884277,0.5641074,0.5071009,0.35476926,0.49391866,0.38428333,0.38952067,0.4955717,0.5219731,0.45498058,0.38252938,0.5910322
W-D-0486-AID - I Zambia Component,0.4718798,0.5377881,0.5701177,0.4630523,0.43667772,0.50429606,0.47076914,0.38630843,0.4524043,0.5456424,0.5276949,0.48951992,0.5533213
W-P-1659-Groundwater for Deep Resilience in Africa - Design,0.3051555,0.29588538,0.5237428,0.5947002,0.41374308,0.51772654,0.4571253,0.340718,0.51407164,0.5450807,0.50630486,0.44433028,0.4854016
W-P-1482-Climate Water Nexus IWRM in Niger Basin,0.4225943,0.38541365,0.44918275,0.5979434,0.38279393,0.5180401,0.36745188,0.42743376,0.55230564,0.5778343,0.4963867,0.44953316,0.5634197
W-D-0371-H2020 - Hydro4U,0.2874174,0.2998033,0.44521463,0.4886736,0.3274464,0.38004193,0.37625313,0.28430882,0.4270676,0.4945963,0.41818976,0.40750885,0.45773053
W-P-1686-Mapping Aquifer Recharge Zones in Groundwater,0.04843214,0.051545016,0.24077627,0.25139043,0.12716657,0.15493456,0.14199503,0.089683,0.27699938,0.2403545,0.17516324,0.1391124,0.24858715
W-D-0437-USA ReSAKSS,0.40499818,0.38734254,0.50374126,0.47348446,0.44506538,0.50532913,0.43716368,0.47623247,0.44750017,0.53555876,0.47800815,0.4437256,0.51603436
W-D-0509-e-ReWater,0.26572186,0.24194464,0.47747925,0.38665915,0.32270628,0.31561416,0.30162644,0.26801866,0.3370626,0.40749273,0.39065075,0.36471605,0.4279995
W-D-0170-WMfEP,0.3167562,0.27658454,0.45115256,0.38968533,0.27766782,0.3710157,0.31665117,0.27329615,0.3693413,0.495543,0.43218353,0.37943533,0.44542363
W-D-0506-NSSID Phase 2,0.4468705,0.4778664,0.51103556,0.56956774,0.38199466,0.58325976,0.5155083,0.4658827,0.66928893,0.5485341,0.5855021,0.5820893,0.64207304
W-D-0472-WE-ACT,0.3131923,0.25911236,0.4369813,0.46381226,0.3987209,0.33982953,0.3130126,0.28366128,0.34580797,0.4732266,0.35156032,0.35153157,0.4758387
W-D-0525- Subsidy Soil Fertility Programme - West Africa,0.3258616,0.45218578,0.42181158,0.29015338,0.15321252,0.44361708,0.27741382,0.36761728,0.4331465,0.39120945,0.30942097,0.38893187,0.50206995
W-P-1683-Wetland Ecosystem Modelling and Valuation,0.22824061,0.24079332,0.32586265,0.37766942,0.21612646,0.29771984,0.22975063,0.17154156,0.41898355,0.40565947,0.34961537,0.37354568,0.3382444
W-D-0510-WFSRCA,0.4797734,0.33609745,0.44487095,0.47830722,0.28262255,0.62471443,0.409189,0.3406847,0.51265913,0.53672034,0.46186447,0.56665254,0.55006087
W-P-1674-Feed the Future Innovation Lab,0.5415932,0.58503324,0.63134813,0.51267844,0.43490952,0.59735394,0.41351512,0.49558252,0.50610167,0.5757536,0.52421165,0.5899151,0.6744343
W-P-1661-Sustainable Resource Use in the Aral Sea Region,0.16222154,0.16663639,0.26446202,0.2832588,0.083056524,0.2441512,0.1972028,0.17772026,0.3288074,0.349559,0.21026862,0.25972918,0.34590223
W-D-0475-VICT-Project,0.39125252,0.5001144,0.46453592,0.509466,0.35426345,0.48699555,0.32267627,0.4178873,0.4691922,0.47308475,0.4299336,0.40573978,0.59786
W-D-0466-ITP (Phase IV),0.38907588,0.35881194,0.4424053,0.5326813,0.35467753,0.5205173,0.39080468,0.3980013,0.40691313,0.61692595,0.4175955,0.48559892,0.49701148
W-P-1641-IKI Thematic Call 2022,0.27742687,0.29884213,0.33476967,0.34311962,0.11690235,0.32075444,0.21535261,0.23547615,0.29015973,0.3514401,0.3020715,0.27712095,0.35782224
W-D-0455-REACH Awash Basin Project,0.26610678,0.25467777,0.4138483,0.4991348,0.36557394,0.39664778,0.38874346,0.31323847,0.45675978,0.46354878,0.4791421,0.37038052,0.41970512
W-D-0517-Mapping Aquifer Recharge Zones in Balochistan,0.048433173,0.05515158,0.23169929,0.2452065,0.11001004,0.1540098,0.13077277,0.09267396,0.27066326,0.2326664,0.16926636,0.12809917,0.2527987
W-D-0470-Built Water Storage in South Asia,0.27449396,0.24815877,0.42560497,0.52422184,0.29803345,0.43433252,0.44692454,0.32650772,0.38132146,0.50406015,0.36286917,0.38264194,0.44757912
W-D-0494-Upper Mahaweli Watershed Project,0.30374217,0.24826467,0.39017472,0.37307185,0.2669497,0.37256077,0.34668654,0.30877185,0.44196236,0.4522403,0.4505436,0.3874736,0.45413873
W-D-0512-PALM-TREES,0.37449494,0.3140011,0.33463982,0.5415993,0.3060336,0.51820946,0.37946233,0.34791493,0.5503245,0.48362148,0.44277254,0.343279,0.43990922
W-D-0015-AWM Solutions in SSA,0.3910129,0.48159403,0.5808071,0.525702,0.43079892,0.48662987,0.44329795,0.3658958,0.42339706,0.56269795,0.63939774,0.46271068,0.5852797
W-D-0483-GCA Digital Ag Profile - Malawi,0.33723426,0.36844894,0.41075546,0.43233183,0.44255584,0.41577983,0.3001441,0.43876845,0.42792788,0.4773507,0.42789698,0.40742007,0.47194457
W-P-1662-Implementation and conducting of Trainings,0.28284743,0.35383618,0.45766422,0.37008268,0.26704487,0.3344546,0.28889835,0.31710994,0.27976352,0.34134784,0.33644578,0.36269912,0.45411634
W-P-1665-Improving and Strengthening Water Security,0.31585124,0.25856888,0.42945984,0.43849465,0.27469984,0.4639867,0.33713338,0.32852036,0.42173502,0.49117783,0.37932143,0.41542858,0.47446507
W-P-1623-Lao PDR: Irrigation Sub-Sector Working Group Secret,0.28768697,0.3721912,0.4713227,0.39346242,0.30868617,0.3988693,0.36921754,0.35329586,0.37493575,0.466812,0.41438338,0.3788246,0.4630397
W-D-0347-MENA RIH WE4F,0.4085767,0.39804578,0.5469438,0.4522023,0.32449788,0.4628662,0.3551072,0.2959595,0.37695622,0.5389003,0.54254293,0.45785296,0.46927905
W-P-1685-Support for CGIAR Initiatives on Gender Research,0.26618758,0.21656407,0.43168345,0.28652608,0.32776234,0.33979595,0.5125133,0.23521505,0.3054993,0.14753851,0.20083784,0.2345886,0.26927778
W-D-0469-USFS: Watershed Management in CA,0.11761572,0.13221933,0.3080401,0.29383862,0.18205458,0.2421392,0.2119534,0.22582436,0.33301336,0.37856007,0.27216616,0.21183239,0.35839072
W-D-0399-DFAT: SAWASI Pakistan,0.21609977,0.14851163,0.35529014,0.37045354,0.29162583,0.38183397,0.3486567,0.17340608,0.29385722,0.4356815,0.35756972,0.32586715,0.29813972
W-D-0423-BMGF: Climate Smart Water Management,0.3894266,0.32016188,0.4712983,0.5677074,0.39525294,0.46016207,0.4695972,0.3089913,0.44027615,0.53410524,0.44133753,0.44269386,0.51403284
W-D-0513-Wetland ES Modelling - Kalu Oya Basin,0.21283561,0.22646554,0.30631992,0.36578837,0.20080394,0.28394344,0.22055492,0.17337629,0.40326476,0.40075594,0.33107388,0.35411853,0.32036152
W-D-0507-Integrated Floods and Droughts Sri Lanka,0.43447542,0.4385193,0.4839665,0.5621403,0.3984134,0.5276315,0.38467386,0.43318784,0.512217,0.6101118,0.4848534,0.45501086,0.67567074
W-D-0286-RALENTIR,0.37618983,0.3973701,0.47172752,0.5418057,0.298649,0.58121437,0.41745612,0.39793393,0.57800734,0.5066465,0.48126474,0.5164131,0.60397893
W-D-0478-CSSF - Sri Lanka,0.43130642,0.37467855,0.5162227,0.6301068,0.3438627,0.60599023,0.5002444,0.41006365,0.5959246,0.64049417,0.5258162,0.52022845,0.56695324
W-D-0252-RRR in refugee settlements in Africa,0.3228674,0.31653237,0.4114435,0.4556501,0.27296385,0.5261713,0.48116544,0.3494131,0.5038518,0.3504471,0.3872174,0.3980666,0.4710156
W-D-0481-Global EbA Fund: MAR in Vietnam,0.44175392,0.51518387,0.5886401,0.5711667,0.3538889,0.53733504,0.42522207,0.39382705,0.5431404,0.5868589,0.5335155,0.5144737,0.64469343
W-D-0340-Darwin Initiative - Colombo Wetands,0.21693127,0.17492393,0.3422923,0.38972303,0.3101024,0.32577354,0.28182694,0.28403112,0.44683632,0.40694153,0.37796193,0.40113896,0.3778545
W-D-0497-TROSA Phase 2,0.23444748,0.20829682,0.34823027,0.4808857,0.27097848,0.39356598,0.4116391,0.1670569,0.360476,0.38730633,0.29184946,0.31868926,0.34994227
W-D-0375-WE4F - South & Central Africa,0.550055,0.47765985,0.5633831,0.5285384,0.33741167,0.57576925,0.41302708,0.36833084,0.51317155,0.60272676,0.4903081,0.5841031,0.58388555
W-D-0493-MCC  PMDIIAS,0.38990724,0.3424347,0.5471498,0.586085,0.37392202,0.52156323,0.48107925,0.37553957,0.5290325,0.5777635,0.47044605,0.5015012,0.5791718
W-D-0477-USFS: Watershed Management in CA,0.19848332,0.18380986,0.37182298,0.39810562,0.23279323,0.32158542,0.29154715,0.30620414,0.43392533,0.43019608,0.33764896,0.28450024,0.44908977
W-D-0487-KLIE Phase 2,0.36686075,0.239765,0.3926084,0.40091178,0.27709594,0.375019,0.29719225,0.2142842,0.37863663,0.42636493,0.54224926,0.4169514,0.3822841
W-D-0490-Water Tracker Phase 2,0.3776856,0.2733151,0.50420713,0.5672306,0.50435644,0.5121952,0.4747567,0.36560985,0.43030167,0.62605435,0.50091356,0.44265434,0.42694205
W-D-0460-IKI: IWRM in the Niger River Basin,0.39830258,0.36699262,0.4603715,0.58570004,0.38522482,0.4890679,0.36069977,0.4200175,0.5375594,0.56812364,0.49557367,0.4476277,0.55314046
W-D-0502-Rights of Wetlands,0.24374172,0.26419136,0.37623224,0.45487756,0.29022,0.34632546,0.36442286,0.3838507,0.5012851,0.39683425,0.38076392,0.43503022,0.39692843
W-D-0482-Climate Resilient Watershed Planning,0.27309746,0.35460973,0.40648434,0.48914576,0.3361763,0.380432,0.31178913,0.35679424,0.41772264,0.46831423,0.3743764,0.34186533,0.55429065
W-D-0200-Social Transformation (EU Ghana REACH),0.3946714,0.3913499,0.46007562,0.5784934,0.37879518,0.59697115,0.54154134,0.4067302,0.5975499,0.5701646,0.49796167,0.46848002,0.5381293
W-D-0456-FAO Irrigation Tool Kit - East Africa,0.30798626,0.36002162,0.44867155,0.39056817,0.3377593,0.37181723,0.26835886,0.3463891,0.31435046,0.4295909,0.38557613,0.31516257,0.5209952
W-D-0473-VIA – Pakistan,0.25178072,0.3462977,0.35565642,0.25611392,0.1839622,0.24062648,0.12697019,0.22896083,0.26407987,0.32229823,0.2415662,0.31485423,0.40071714
W-D-0463-USAID: KAWAS,0.20926471,0.2427293,0.3690989,0.42833287,0.30639136,0.27530563,0.2674756,0.2837057,0.39872962,0.3267114,0.31805196,0.34706423,0.4442444
W-D-0267-GCRF drought - South Africa,0.32233083,0.38198492,0.44437906,0.55140984,0.34331727,0.44615826,0.37350455,0.38746375,0.53153425,0.49865842,0.45809153,0.42015043,0.571287
W-D-0298-WEF Nexus Framework Assessment,0.41713077,0.3088702,0.4474336,0.51903355,0.24686976,0.5104152,0.32363728,0.2974602,0.44441146,0.5242715,0.41650465,0.5092174,0.53645945
W-D-0388-GCRF Water Security Hub - Equipment,0.1227663,0.113570146,0.3150233,0.27687982,0.1965637,0.22883634,0.25922382,0.10660948,0.19835791,0.2773456,0.21713173,0.19095545,0.22110492
W-P-1636-Prioritization of climate-smart water management pr,0.41020504,0.33213267,0.48048994,0.59141535,0.40739852,0.44920537,0.49030256,0.29780507,0.4442167,0.5323014,0.44659823,0.44143417,0.5148454
W-D-0518-CARE: CapDev for CC Adaptation,0.368873,0.2886872,0.45956525,0.5724682,0.31340083,0.5089316,0.43505198,0.30199268,0.4293144,0.57453436,0.43787652,0.42772138,0.48985723
W-D-0521-CARE: Pakistan Groundwater Atlas,0.06461109,0.09290009,0.21193036,0.22219047,0.231493,0.09731187,0.12670366,0.23541182,0.17752384,0.1806412,0.12253047,0.14739846,0.26205623
W-D-0520-ASEAN-CGIAR Initiative,0.45798838,0.46020463,0.52697945,0.4170499,0.25621575,0.51005244,0.33407193,0.3642437,0.38306627,0.5232359,0.4307784,0.46237656,0.5831377
W-D-0527-TAAT II (Rice),0.38519526,0.45157078,0.49881884,0.42387134,0.25093573,0.44810662,0.32609096,0.3691672,0.3729329,0.46873984,0.41972047,0.3771427,0.5513516
W-D-0529-Land Development Assessment Ethiopia,0.27133262,0.24748059,0.33398318,0.42349562,0.2708893,0.45498192,0.2773755,0.28078172,0.49957862,0.4183367,0.39115262,0.396251,0.51003647
P-1751-Improving groundwater management in Northern Sri Lanka,0.28130552,0.2214462,0.40353492,0.40240833,0.19917053,0.38014182,0.29915127,0.254921,0.42469537,0.43672448,0.3290695,0.35164645,0.43771964
P-0892- Groundwater Resources in the Greater Mekong Subregion: Collaborative Management to Increase Resilience,0.15413408,0.10818888,0.3583247,0.35088626,0.17670515,0.311971,0.23532775,0.12883012,0.30747837,0.36380374,0.30978093,0.31391343,0.3706474
P-1729- Blue Peace Central Asia Initiative 2.0 (BPCA 2.0),0.21997204,0.20081015,0.37049234,0.3905233,0.18578157,0.36200967,0.30744913,0.19078545,0.30792013,0.408248,0.32011545,0.32597628,0.3186922
D-0434 : Fish for Livelihoods,0.35418826,0.35391584,0.43616924,0.48610163,0.26484898,0.4558493,0.36017442,0.32751536,0.4510732,0.50232524,0.3948344,0.5354437,0.52261144
Water and Soil Accelerator,0.030466,0.14294936,0.29385772,0.1310189,0.24659318,0.0633891,0.1880902,0.08519435,0.18143812,0.13141532,0.1395,0.11148445,0.24168469
L-BMG026-CGIAR Livestock Partnership,0.46072558,0.57848334,0.5244634,0.40765443,0.35603198,0.5467705,0.3972831,0.5372317,0.45564798,0.46751913,0.42787954,0.5993731,0.53709936
L-P10664-EU Support to sustainable Livestock system in Ethio,0.43578,0.43712324,0.4180344,0.3938245,0.2375009,0.50374824,0.3001718,0.37131757,0.39459184,0.4665865,0.42129314,0.6110939,0.5074163
L-UOE012-Centre for Tropical Livestock Genetics and Health -,0.3829726,0.55488265,0.3850933,0.36922756,0.28174254,0.4913066,0.22835264,0.58835626,0.4078814,0.38386363,0.32326293,0.49063227,0.47916022
"L-BMZ002-One Health Research, Education and Outreach Centre",0.4732798,0.32196164,0.4883286,0.44817486,0.35715505,0.566469,0.3623122,0.3515216,0.39287522,0.50671744,0.45057157,0.4696943,0.43080723
"L-KOR025-The Ministry of Agriculture,Food and Rural Affairs",0.36677644,0.3648057,0.3270746,0.34014004,0.30712286,0.45732066,0.32480362,0.39887574,0.36324254,0.41089535,0.32681227,0.53145474,0.427932
L-CIA023-Accelerating Impacts of CGIAR Climate Research for Africa II,0.45398873,0.5106256,0.5639192,0.53449667,0.35801476,0.5917993,0.3924468,0.45544416,0.5274569,0.52949244,0.47061512,0.45678392,0.6790723
L-P10659-Fleming Fund Country Grant for Kenya phase 2,0.4512266,0.50499034,0.58775926,0.6059676,0.34746063,0.57612115,0.42840305,0.45713073,0.5879885,0.65292764,0.5387123,0.49434617,0.62181973
L-CIA024-Anti-methanogenic feedstock for livestock systems in Global South,0.46380103,0.56502694,0.4703687,0.4343615,0.23482545,0.45841265,0.28742963,0.44355536,0.4439036,0.42591348,0.45957336,0.5252903,0.48842067
L-EUR021-Capacitating One Health in Eastern and Southern Afr,0.3554634,0.25067106,0.4399666,0.45331475,0.35688788,0.46746612,0.38378444,0.3005145,0.41887388,0.4903411,0.41670054,0.46753305,0.39698082
"L-MML007-Antimicrobial Resistance and One Health, including Animal Health, the Environment and Practitioner Engagement (AMROH) Eastern and Southern Africa (ESA)",0.3221324,0.3009097,0.36311862,0.33995277,0.31609067,0.45182294,0.27870953,0.3555007,0.30403104,0.3960467,0.35567647,0.48203304,0.39928123
L-P10660-Regional Grants Phase II Set 2- Antimicrobial Resis,0.23667042,0.2150869,0.26284456,0.2789025,0.1559843,0.3460169,0.20582415,0.25910988,0.28005964,0.30967143,0.24176389,0.34968328,0.2961015
L-IUC001-Sustainable Investments for Large-scale Rangeland R,0.400507,0.42715272,0.5061262,0.5512785,0.33729005,0.5607918,0.45065504,0.41643938,0.58970296,0.5134487,0.5328338,0.5404722,0.5496186
L-UOE011-Jameel Observation for Food Security Early Action,0.53404975,0.47790614,0.49390963,0.5892149,0.37460074,0.6545173,0.40210235,0.46336097,0.50609654,0.54814017,0.45133388,0.49096262,0.6113226
L-P10652-Analysis of the cross protective response induced b,0.019421568,0.0992722,0.019780256,0.006088059,0.016972655,0.12500514,-0.003935289,0.14044951,0.081615694,0.0021018172,0.013542667,0.05877138,0.0423683
L-SRU002-Reducing feed costs and GHG emission in smallholder,0.31882307,0.27505356,0.21732402,0.24588129,0.08836298,0.28833726,0.13586932,0.19923156,0.22244793,0.222356,0.20791039,0.3928681,0.34579727
L-P10701-Basic and applied research toward improved vaccines,-0.037291896,0.119834684,0.04696125,-0.027772686,0.027234389,0.06370951,-0.02933249,0.10092751,-0.02869896,0.02686764,-0.001060436,0.12998201,0.061599944
"L-WAN007-Land, Soil and Crop Information Services to support",0.266466,0.42381755,0.33481154,0.37371093,0.25764802,0.34243247,0.21978527,0.38755873,0.44008282,0.34629494,0.23348829,0.30647844,0.55072165
L-UOF009-Livestock Systems Innovation Lab (LSIL) - Phase II,0.2059586,0.3687399,0.29979837,0.19405428,0.21448565,0.28875163,0.13878892,0.27023983,0.17833509,0.2620626,0.21582119,0.37501702,0.2977841
L-IDR027-Generating evidence on a nutrient dense diet centre,0.60231745,0.34249678,0.36108652,0.29961368,0.23823613,0.48349148,0.2744404,0.28273925,0.33733296,0.40147057,0.35329223,0.46359685,0.44160938
L-UOF011-POULTRY LOSSES AND ONE HEALTH (POLOH): Reducing los,0.3202775,0.35054412,0.16021009,0.20331262,0.13064182,0.29288292,0.06323706,0.25228843,0.20105156,0.19186561,0.18981573,0.40001047,0.28575885
L-NUR001-LEG4DEV - Legume-based agroecological intensificati,0.3411975,0.36132714,0.33648837,0.30420104,0.23050104,0.39025944,0.27291414,0.36588702,0.4423467,0.3404112,0.30276904,0.3703494,0.4875087
L-SIN001-Mitigating the Risk of Vector-Borne Disease in Nort,0.15869871,0.24073066,0.105642274,0.13458966,0.09136388,0.31415138,0.10601265,0.23771568,0.22986178,0.19713825,0.15091011,0.25433752,0.19849125
L-P10648-New Technologies for African Swine Fever Vaccines,0.080936484,0.24216212,0.12204474,0.059888378,0.07762813,0.20025511,0.08257308,0.1909914,0.09493666,0.12698092,0.08195706,0.2218072,0.154799
L-P10674-Design and implementation of an impact evaluation r,0.19298157,0.1875347,0.2784733,0.28016436,0.4049614,0.26166818,0.2164629,0.2109751,0.19303179,0.2544171,0.34942564,0.15680636,0.28078133
L-P10665-InnoVet-AMR 2.0: From lab to market: Phage-based pr,0.18782856,0.24446996,0.16241056,0.07591854,0.06276329,0.20546275,0.024370741,0.2282158,0.105098665,0.13030341,0.12613206,0.2857127,0.23320252
L-APH002-Selecting Efficient Farm-level Antimicrobial Stewar,0.30928499,0.23925817,0.2477035,0.23232168,0.15256478,0.35595962,0.20325898,0.28938612,0.30611,0.30400458,0.30635595,0.40315455,0.3796418
L-P10672-Making Index Insurance Fully Available for Women (M,0.15728955,0.13192533,0.082785636,0.18585844,0.15039907,0.20581755,0.26727718,0.15601674,0.2146259,0.15566172,0.07375148,0.16636826,0.13060725
L-P10666-Feed formulation proposal: Increasing animal produc,0.48837864,0.44373813,0.31200677,0.2717916,0.12422263,0.38882312,0.19579487,0.27480215,0.29463792,0.30858982,0.2818889,0.5177652,0.43749616
L-ARL001-2023-East Africa  GHG Measurement Hub,0.16108884,0.13072792,0.22506586,0.31085855,0.16286704,0.22210109,0.21166062,0.1409031,0.22806403,0.2738088,0.19369762,0.16086778,0.20353237
"L-FRA001-R’OHOKET : Antimicrobial resistance with One Health approach in Uganda, Kenya, Ethiopia, Tanzania.",0.18092765,0.06438186,0.10990257,0.13771336,0.08899925,0.24745774,0.09640333,0.1941949,0.1491942,0.2152508,0.15343119,0.24809723,0.1398297
L-P10635-Nourishing Prosperity Alliance: the scale up of an,0.46866363,0.47935763,0.37432972,0.21637404,0.16192733,0.3988936,0.20107466,0.25198978,0.24673267,0.353184,0.33542338,0.56127864,0.34234697
L-UOF010-Feed the Future Innovation Lab for Livestock System,0.29248115,0.47746608,0.4222081,0.23539026,0.33839697,0.33917078,0.20308988,0.37008408,0.23611724,0.31248635,0.3301446,0.4303796,0.3755994
L-USD021-Generation of a Transposon Mutant Library of Mycoplasma Mycoides Subspecies Mycoides,-0.04861883,0.09547324,0.017980225,0.011885441,-0.0014724765,0.030257095,-0.0022970755,0.21735995,0.04460193,0.0014730054,-0.04398045,-0.011485876,0.059350267
L-P10661-ASAL Adapts,-0.015695017,0.07535073,0.07416048,0.056701597,0.107585125,0.048355736,0.09189945,0.049141243,0.072984576,0.022961535,0.03132053,0.056617353,0.041352835
L-P10676-Building resilience of pastoralists systems and liv,0.26432154,0.29406053,0.24651201,0.347822,0.1631519,0.43502912,0.19875644,0.23325828,0.38225567,0.36876935,0.3634824,0.39294672,0.3748133
L-RUC011-Development of a Feed Ration Formulation Tool,0.24229391,0.2772565,0.17182028,0.047787078,0.06395805,0.17427029,0.036601603,0.15816253,0.09928425,0.07606932,0.1375795,0.1822551,0.24271344
"L-GAV011-Sero-prevalence, Risk Factors for Exposure and Socio-Economic Impact of Livestock Diseases in Kenya",0.19353777,0.19342524,0.05651745,0.1044641,0.038887903,0.2871559,0.07560754,0.1556583,0.16491912,0.1687866,0.1151714,0.3306939,0.19691032
L-WSU002-Feed the Future Innovation Lab For Animal Health (A,0.32110393,0.4226273,0.40807515,0.21227933,0.36032575,0.34276155,0.1897911,0.3427125,0.20718251,0.3135142,0.3230488,0.47970346,0.3136168
L-NIG001-The Livestock Productivity and Resilience Support Project L-PRES,0.23767865,0.412357,0.30107477,0.29594606,0.19441918,0.40298337,0.18280044,0.30873212,0.2934159,0.2700204,0.26001817,0.43580332,0.42446938
L-P10675-Innovation for resilience for the Dryland populatio,0.21130636,0.2957999,0.32758853,0.38951215,0.29242018,0.4216791,0.29126555,0.2768949,0.34542766,0.3846961,0.322235,0.32931656,0.3618225
L-P10677-Optimization and adoption decision-making of agricu,0.31833497,0.32353953,0.31335297,0.34343612,0.1670612,0.31995624,0.2037963,0.28965813,0.36762407,0.37778825,0.34821048,0.33208457,0.41499963
L-GRT001-Agro-ecology and Safe food System Transitions (ASSE,0.375464,0.33656308,0.28969783,0.2857249,0.14128198,0.42399555,0.20064451,0.2958764,0.39941266,0.36843422,0.29939702,0.41029578,0.40831324
L-SLU002-Exploring Resistance Sources Against the Devastatin,0.038506847,0.31173182,0.062203534,0.05277187,0.04995622,0.09800445,0.029467054,0.34377024,0.15130624,0.017976835,0.064092435,0.04712905,0.195471
L-NWO003-From Climate change to conflict:Mitigation through,0.28262505,0.2857472,0.26470688,0.47850356,0.30522376,0.44011632,0.37116227,0.3368513,0.43121213,0.4888916,0.34452325,0.32049102,0.33414826
L-WAN009-Enabling National Processes of Foresight for Food Systems Transformation (FoSTr) Programme,0.535966,0.42243296,0.40272468,0.33133414,0.30492485,0.51479584,0.28495303,0.3702966,0.31691548,0.45929915,0.39792028,0.43346253,0.46334875
L-P10528-Climate Change and Conflict: Mitigation through Ins,0.27614188,0.26393935,0.24850188,0.4830359,0.25760466,0.428942,0.37039682,0.29759356,0.42260832,0.48448476,0.33149818,0.30340278,0.29129347
L-P10670-Defining new phenotypes for forage and crop residue,0.30699262,0.36676955,0.23694973,0.30981958,0.089789376,0.30613315,0.21416335,0.3977512,0.31640443,0.2315804,0.22679414,0.33046916,0.35373944
L-UOB001-Implementation andArboviral Disease in Kenya Within,0.14202757,0.11050047,0.17407233,0.14599729,0.15089436,0.24317023,0.17546761,0.19860113,0.18335307,0.2273433,0.17342159,0.2147993,0.14436033
L-P10667-Phase 1: Adaptability and Performance of selected f,0.25963315,0.36706266,0.28293654,0.27843013,0.11309821,0.34188145,0.19982506,0.31975424,0.36169356,0.25957155,0.19958173,0.37584272,0.33455804
"L-P10468-Combined influence of imperfect vaccines, host gene",-0.008385747,0.14700438,-0.033587147,-0.017258888,-0.026579116,0.054062054,-0.011551092,0.18403168,0.05019248,-0.03799275,-0.05564202,0.029916588,0.010281829
L-P10550-Centre for Tropical Genetics and Health 2.0 (CTLGH,0.14852189,0.23481715,0.11554392,0.15216544,0.036141265,0.1896685,0.08005585,0.36550856,0.20819466,0.10398297,0.018326873,0.20871678,0.17364056
L-P10564-(TAHSSL) - Phase II,-0.05310934,0.007258893,-0.02630268,0.03444124,0.03203984,0.043616187,0.044095993,-0.03820742,0.0089951,0.014901224,-0.06290419,0.001253413,-0.008997673
L-P10571-African Dairy Genetic Gains (ADGG) Program Phase II,0.24759592,0.36153463,0.18625996,0.19626693,0.10029585,0.3055623,0.15124005,0.32736546,0.2560786,0.20172623,0.15956742,0.30068395,0.23710664
L-P10572-Tropical Poultry Genetic Solutions Phase (TPGS) III,0.17273764,0.4057087,0.1276565,0.1401287,0.055346478,0.21769175,0.07743139,0.31474677,0.2022089,0.16163509,0.08253858,0.28066248,0.21154155
L-P10568-Scaling agroforestry to benefit the welfare of anim,0.32480463,0.35480574,0.32911816,0.25315496,0.19597368,0.38176692,0.24212001,0.29526654,0.40046406,0.3209407,0.385805,0.46932337,0.43072194
L-P10531-POLOH,-0.028552452,0.017767863,-0.0376699,-0.037183676,-0.035046667,0.027489254,0.0008562973,-0.04227957,-0.050017912,-0.031286467,-0.016837569,0.06368341,-0.01391294
L-P10591-Resilient and low-carbon livestock systems for trad,0.3246941,0.3551255,0.28477937,0.34958607,0.13485564,0.48096952,0.18976323,0.2949402,0.37019464,0.33382413,0.29634544,0.49263433,0.4036782
L-P10594-ASF IDRC-Phase II,-0.026369007,0.011629036,-0.008304964,0.055103436,0.0780616,0.05332874,0.064973064,0.06617252,0.057580467,0.038856335,-0.0132773835,0.0040191757,0.0024033214
